Sample in Buffer,Sample in Window,TRIGGER,voltmeter2_inst/adc_data[7:0],voltmeter2_inst/sin_wave[13:0],voltmeter2_inst/vrms[12:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED
565,565,0,109,-703,703
566,566,0,109,-703,703
567,567,0,109,-703,703
568,568,0,109,-703,703
569,569,0,109,-703,703
570,570,0,110,-703,703
571,571,0,109,-703,703
572,572,0,110,-664,703
573,573,0,109,-703,703
574,574,0,109,-664,703
575,575,0,109,-703,703
576,576,0,110,-703,703
577,577,0,109,-703,703
578,578,0,110,-664,703
579,579,0,109,-703,703
580,580,0,110,-664,703
581,581,0,109,-703,703
582,582,0,109,-664,703
583,583,0,109,-703,703
584,584,0,110,-703,703
585,585,0,109,-703,703
586,586,0,110,-664,703
587,587,0,109,-703,703
588,588,0,110,-664,703
589,589,0,109,-703,703
590,590,0,110,-664,703
591,591,0,109,-703,703
592,592,0,110,-664,703
593,593,0,109,-703,703
594,594,0,110,-664,703
595,595,0,109,-703,703
596,596,0,110,-664,703
597,597,0,109,-703,703
598,598,0,110,-664,703
599,599,0,110,-703,703
600,600,0,110,-664,703
601,601,0,109,-664,703
602,602,0,110,-664,703
603,603,0,109,-703,703
604,604,0,110,-664,703
605,605,0,110,-703,703
606,606,0,110,-664,703
607,607,0,110,-664,703
608,608,0,110,-664,703
609,609,0,110,-664,703
610,610,0,110,-664,703
611,611,0,110,-664,703
612,612,0,110,-664,703
613,613,0,110,-664,703
614,614,0,110,-664,703
615,615,0,110,-664,703
616,616,0,110,-664,703
617,617,0,110,-664,703
618,618,0,110,-664,703
619,619,0,110,-664,703
620,620,0,110,-664,703
621,621,0,110,-664,703
622,622,0,110,-664,703
623,623,0,110,-664,703
624,624,0,110,-664,703
625,625,0,110,-664,703
626,626,0,110,-664,703
627,627,0,110,-664,703
628,628,0,110,-664,703
629,629,0,110,-664,703
630,630,0,111,-664,703
631,631,0,110,-664,703
632,632,0,111,-625,703
633,633,0,110,-664,703
634,634,0,110,-625,703
635,635,0,110,-664,703
636,636,0,111,-664,703
637,637,0,110,-664,703
638,638,0,111,-625,703
639,639,0,110,-664,703
640,640,0,111,-625,703
641,641,0,110,-664,703
